slug,question,side,entry_price,stake_usd,p_claude,confidence,edge_bps,opened_at,end_date,status,resolution_outcome,pnl_usd,closed_at
atp-sharipo-riedi-2026-04-21,Gwangju: Marat Sharipov vs Leandro Riedi,YES,0.58,200.0,0.55,3,1340,2026-04-21T07:08:58.442320+00:00,2026-04-28T05:00:00Z,CLOSED,NO,-200.0,2026-04-23T22:23:35.835677+00:00
fl1-psg-nan-2026-04-22-total-3pt5,Paris Saint-Germain FC vs. FC Nantes: O/U 3.5,YES,0.52,200.0,0.55,3,1340,2026-04-21T07:08:58.442337+00:00,2026-04-22T17:00:00Z,CLOSED,NO,-200.0,2026-04-23T22:23:37.523040+00:00
epl-wol-tot-2026-04-25-tot,Will Tottenham Hotspur FC win on 2026-04-25?,YES,0.57,200.0,0.55,3,1340,2026-04-21T07:08:58.442342+00:00,2026-04-25T14:00:00Z,OPEN,,0.0,
wta-gibson-arango-2026-04-21,Madrid Open: Talia Gibson vs Emiliana Arango,YES,0.51,200.0,0.55,3,1340,2026-04-21T07:08:58.442346+00:00,2026-04-28T09:00:00Z,CLOSED,NO,-200.0,2026-04-23T22:23:40.048829+00:00
bun-hsv-hof-2026-04-25-hof,Will TSG 1899 Hoffenheim win on 2026-04-25?,YES,0.54,200.0,0.55,3,1340,2026-04-21T07:08:58.442350+00:00,2026-04-25T16:30:00Z,OPEN,,0.0,
highest-temperature-in-seoul-on-april-22-2026-16c,Will the highest temperature in Seoul be 16°C on April 22?,YES,0.31,200.0,0.55,3,2800,2026-04-21T07:08:58.442355+00:00,2026-04-22T12:00:00Z,CLOSED,NO,-200.0,2026-04-23T22:23:42.583686+00:00
kbo-lg-sam-2026-04-17,KBO: LG Twins vs. Samsung Lions,YES,0.56,200.0,0.55,3,1340,2026-04-21T07:08:58.442358+00:00,2026-04-24T09:30:00Z,OPEN,,0.0,
atp-bertola-jianu-2026-04-21,Rome: Remy Bertola vs Filip Jianu,YES,0.55,200.0,0.55,3,1340,2026-04-21T07:08:58.442362+00:00,2026-04-28T08:00:00Z,CLOSED,NO,-200.0,2026-04-23T22:23:45.095605+00:00
highest-temperature-in-london-on-april-22-2026-15c,Will the highest temperature in London be 15°C on April 22?,YES,0.33,200.0,0.55,3,2800,2026-04-21T07:08:58.442366+00:00,2026-04-22T12:00:00Z,CLOSED,YES,406.060606060606,2026-04-23T22:23:46.753585+00:00
ufc-dav3-adr8-2026-04-25,"UFC Fight Night: Davey Grant vs. Adrian Luna Martinetti (Bantamweight, Main Card)",YES,0.54,200.0,0.55,3,1340,2026-04-21T07:08:58.442370+00:00,2026-04-26T03:59:59.999Z,OPEN,,0.0,
kbo-ssg-nc-2026-04-17,KBO: SSG Landers vs. NC Dinos,YES,0.53,200.0,0.55,3,1340,2026-04-21T07:08:58.442373+00:00,2026-04-24T09:30:00Z,OPEN,,0.0,
wta-townsen-boulter-2026-04-21,Madrid Open: Taylor Townsend vs Katie Boulter,YES,0.53,200.0,0.55,3,1340,2026-04-21T07:08:58.442377+00:00,2026-04-28T09:00:00Z,CLOSED,NO,-200.0,2026-04-23T22:23:50.108618+00:00
highest-temperature-in-madrid-on-april-22-2026-24c,Will the highest temperature in Madrid be 24°C on April 22?,YES,0.3,200.0,0.55,3,2800,2026-04-21T07:08:58.442381+00:00,2026-04-22T12:00:00Z,CLOSED,YES,466.66666666666674,2026-04-23T22:23:51.838196+00:00
highest-temperature-in-toronto-on-april-22-2026-19corhigher,Will the highest temperature in Toronto be 19°C or higher on April 22?,YES,0.32,200.0,0.55,3,2800,2026-04-21T07:08:58.442385+00:00,2026-04-22T12:00:00Z,CLOSED,NO,-200.0,2026-04-23T22:23:53.477478+00:00
atp-djere-caniato-2026-04-21,Rome: Laslo Djere vs Carlo Alberto Caniato,YES,0.58,200.0,0.55,3,1340,2026-04-21T07:08:58.442389+00:00,2026-04-28T11:00:00Z,CLOSED,YES,144.82758620689657,2026-04-23T22:23:55.217336+00:00
ufc-ale-raf3-2026-04-25,"UFC Fight Night: Alexander Hernandez vs. Rafa Garcia (Lightweight, Prelims)",YES,0.56,200.0,0.55,3,1340,2026-04-21T07:08:58.442392+00:00,2026-04-26T03:59:59.999Z,OPEN,,0.0,
atp-topo-cretu-2026-04-21,Rome: Marko Topo vs Cezar Cretu,YES,0.57,200.0,0.55,3,1340,2026-04-21T07:08:58.442395+00:00,2026-04-28T08:00:00Z,CLOSED,NO,-200.0,2026-04-23T22:23:57.822469+00:00
atp-wu-droguet-2026-04-21,"Madrid Open, Qualification: Yibing Wu vs Titouan Droguet",YES,0.53,200.0,0.55,3,1340,2026-04-21T07:08:58.442399+00:00,2026-04-28T09:00:00Z,CLOSED,NO,-200.0,2026-04-23T22:23:59.546069+00:00
atp-gueymar-kennedy-2026-04-20,Savannah: Sascha Gueymard-Wayenburg vs Jack Kennedy,YES,0.6,200.0,0.55,3,1340,2026-04-21T07:08:58.442402+00:00,2026-04-27T14:00:00Z,CLOSED,NO,-200.0,2026-04-23T22:24:01.294531+00:00
atp-valle-izquier-2026-04-21,Rome: Enrico Dalla Valle vs Nikolas Sanchez Izquierdo,YES,0.52,200.0,0.55,3,1340,2026-04-22T01:09:13.472322+00:00,2026-04-28T08:00:00Z,CLOSED,NO,-200.0,2026-04-23T22:24:03.027137+00:00
wta-teichma-osuigwe-2026-04-21,Oeiras 4: Jil Teichmann vs Whitney Osuigwe,YES,0.51,200.0,0.55,3,1340,2026-04-22T01:09:13.472344+00:00,2026-04-28T09:00:00Z,CLOSED,NO,-200.0,2026-04-23T22:24:04.665537+00:00
kbo-doo-lot-2026-04-21,KBO: Doosan Bears vs. Lotte Giants,YES,0.58,200.0,0.55,3,1340,2026-04-22T01:09:13.472350+00:00,2026-04-28T09:30:00Z,CLOSED,YES,144.82758620689657,2026-04-23T22:24:06.624790+00:00
epl-mun-bre-2026-04-27-mun,Will Manchester United FC win on 2026-04-27?,YES,0.52,200.0,0.55,3,1340,2026-04-22T01:09:13.472354+00:00,2026-04-27T19:00:00Z,OPEN,,0.0,
highest-temperature-in-london-on-april-24-2026-17c,Will the highest temperature in London be 17°C on April 24?,YES,0.27,200.0,0.55,3,2850,2026-04-23T22:34:29.433506+00:00,2026-04-24T12:00:00Z,OPEN,,0.0,
highest-temperature-in-shanghai-on-april-24-2026-20c,Will the highest temperature in Shanghai be 20°C on April 24?,YES,0.36,200.0,0.55,3,2850,2026-04-23T22:34:29.433524+00:00,2026-04-24T12:00:00Z,OPEN,,0.0,
highest-temperature-in-nyc-on-april-24-2026-64-65f,Will the highest temperature in New York City be between 64-65°F on April 24?,YES,0.39,200.0,0.55,3,2850,2026-04-23T22:34:29.433530+00:00,2026-04-24T12:00:00Z,OPEN,,0.0,
highest-temperature-in-tokyo-on-april-24-2026-19c,Will the highest temperature in Tokyo be 19°C on April 24?,YES,0.33,200.0,0.55,3,2850,2026-04-23T22:34:29.433535+00:00,2026-04-24T12:00:00Z,OPEN,,0.0,
highest-temperature-in-madrid-on-april-24-2026-21c,Will the highest temperature in Madrid be 21°C on April 24?,YES,0.31,200.0,0.55,3,2850,2026-04-23T22:34:29.433539+00:00,2026-04-24T12:00:00Z,OPEN,,0.0,
highest-temperature-in-atlanta-on-april-24-2026-82-83f,Will the highest temperature in Atlanta be between 82-83°F on April 24?,YES,0.31,200.0,0.55,3,2850,2026-04-23T22:34:29.433543+00:00,2026-04-24T12:00:00Z,OPEN,,0.0,
highest-temperature-in-singapore-on-april-24-2026-33c,Will the highest temperature in Singapore be 33°C on April 24?,YES,0.31,200.0,0.55,3,2850,2026-04-23T22:34:29.433547+00:00,2026-04-24T12:00:00Z,OPEN,,0.0,
highest-temperature-in-beijing-on-april-24-2026-25c,Will the highest temperature in Beijing be 25°C on April 24?,YES,0.31,200.0,0.55,3,2850,2026-04-23T22:34:29.433551+00:00,2026-04-24T12:00:00Z,OPEN,,0.0,
highest-temperature-in-beijing-on-april-24-2026-26c,Will the highest temperature in Beijing be 26°C on April 24?,YES,0.37,200.0,0.55,3,2850,2026-04-23T22:34:29.433554+00:00,2026-04-24T12:00:00Z,OPEN,,0.0,
highest-temperature-in-paris-on-april-24-2026-23c,Will the highest temperature in Paris be 23°C on April 24?,YES,0.3,200.0,0.55,3,2850,2026-04-23T22:34:29.433558+00:00,2026-04-24T12:00:00Z,OPEN,,0.0,
highest-temperature-in-lucknow-on-april-24-2026-43c,Will the highest temperature in Lucknow be 43°C on April 24?,YES,0.28,200.0,0.55,3,2850,2026-04-23T22:34:29.433562+00:00,2026-04-24T12:00:00Z,OPEN,,0.0,
